nume_actiune,timestamp
cautareProdusCategorie,2024-05-25 14:03:03.6893637
cautareProdusNume,2024-05-25 14:03:03.6963503
adaugareProdus,2024-05-25 14:04:14.8632441
adaugareProdus,2024-05-25 14:04:14.8752462
adaugareProdus,2024-05-25 14:04:14.8762459
adaugareProdus,2024-05-25 14:04:14.877244
adaugareProdus,2024-05-25 14:04:14.877244
stergereProdus,2024-05-25 14:04:14.8822458
sortareProduse,2024-05-25 14:04:14.8842445
afisareProduse,2024-05-25 14:04:14.8842445
numarareProduse,2024-05-25 14:04:14.885245
cautareProdusCategorie,2024-05-25 14:04:14.8862452
cautareProdusNume,2024-05-25 14:04:14.8872469
adaugareProdus,2024-05-25 14:06:24.3997227
adaugareProdus,2024-05-25 14:06:24.4127274
adaugareProdus,2024-05-25 14:06:24.4137252
adaugareProdus,2024-05-25 14:06:24.4147271
adaugareProdus,2024-05-25 14:06:24.4157296
stergereProdus,2024-05-25 14:06:24.4217263
sortareProduse,2024-05-25 14:06:24.4227267
afisareProduse,2024-05-25 14:06:24.4237252
numarareProduse,2024-05-25 14:06:24.4247242
cautareProdusCategorie,2024-05-25 14:06:24.4247242
cautareProdusNume,2024-05-25 14:06:24.4257244
adaugareProdus,2024-05-25 14:08:30.3548208
adaugareProdus,2024-05-25 14:08:30.3668163
adaugareProdus,2024-05-25 14:08:30.3678139
adaugareProdus,2024-05-25 14:08:30.3678139
adaugareProdus,2024-05-25 14:08:30.3688142
stergereProdus,2024-05-25 14:08:30.380816
sortareProduse,2024-05-25 14:08:30.3828231
afisareProduse,2024-05-25 14:08:30.3838162
numarareProduse,2024-05-25 14:08:30.3858217
cautareProdusCategorie,2024-05-25 14:08:30.3908303
cautareProdusNume,2024-05-25 14:08:30.3918193
adaugareProdus,2024-05-25 14:09:47.748318
adaugareProdus,2024-05-25 14:09:47.7623169
adaugareProdus,2024-05-25 14:09:47.763317
adaugareProdus,2024-05-25 14:09:47.763317
adaugareProdus,2024-05-25 14:09:47.7643162
stergereProdus,2024-05-25 14:09:47.7703155
sortareProduse,2024-05-25 14:09:47.7713162
afisareProduse,2024-05-25 14:09:47.7723236
numarareProduse,2024-05-25 14:09:47.7733166
cautareProdusCategorie,2024-05-25 14:09:47.7743185
cautareProdusNume,2024-05-25 14:09:47.7743185
adaugareProdus,2024-05-25 14:10:51.2294433
adaugareProdus,2024-05-25 14:10:51.2404505
adaugareProdus,2024-05-25 14:10:51.2414438
adaugareProdus,2024-05-25 14:10:51.2414438
adaugareProdus,2024-05-25 14:10:51.2424432
stergereProdus,2024-05-25 14:10:51.2474456
sortareProduse,2024-05-25 14:10:51.2484435
afisareProduse,2024-05-25 14:10:51.2494455
numarareProduse,2024-05-25 14:10:51.2504425
cautareProdusCategorie,2024-05-25 14:10:51.2504425
cautareProdusNume,2024-05-25 14:10:51.2514442
adaugareProdus,2024-05-25 14:11:20.2928691
adaugareProdus,2024-05-25 14:11:20.3038645
adaugareProdus,2024-05-25 14:11:20.3048646
adaugareProdus,2024-05-25 14:11:20.3058664
adaugareProdus,2024-05-25 14:11:20.3058664
stergereProdus,2024-05-25 14:11:20.3148741
sortareProduse,2024-05-25 14:11:20.316871
afisareProduse,2024-05-25 14:11:20.3178743
numarareProduse,2024-05-25 14:11:20.3188702
cautareProdusCategorie,2024-05-25 14:11:20.3198676
cautareProdusNume,2024-05-25 14:11:20.3208686
adaugareProdus,2024-05-25 14:11:38.2163397
adaugareProdus,2024-05-25 14:11:38.2303375
adaugareProdus,2024-05-25 14:11:38.2303375
adaugareProdus,2024-05-25 14:11:38.2313419
adaugareProdus,2024-05-25 14:11:38.2323401
stergereProdus,2024-05-25 14:11:38.2393372
sortareProduse,2024-05-25 14:11:38.2413369
afisareProduse,2024-05-25 14:11:38.2413369
numarareProduse,2024-05-25 14:11:38.2423362
cautareProdusCategorie,2024-05-25 14:11:38.2433393
cautareProdusNume,2024-05-25 14:11:38.2443402
adaugareProdus,2024-05-25 14:13:16.0716195
adaugareProdus,2024-05-25 14:13:16.0836257
adaugareProdus,2024-05-25 14:13:16.0846217
adaugareProdus,2024-05-25 14:13:16.0846217
adaugareProdus,2024-05-25 14:13:16.0856289
stergereProdus,2024-05-25 14:13:16.0896221
sortareProduse,2024-05-25 14:13:16.0916229
afisareProduse,2024-05-25 14:13:16.0926225
numarareProduse,2024-05-25 14:13:16.0926225
cautareProdusCategorie,2024-05-25 14:13:16.0936276
cautareProdusNume,2024-05-25 14:13:16.0946239
adaugareProdus,2024-05-25 14:16:38.9682415
adaugareProdus,2024-05-25 14:16:38.9802327
adaugareProdus,2024-05-25 14:16:38.9802327
adaugareProdus,2024-05-25 14:16:38.981235
adaugareProdus,2024-05-25 14:16:38.9822366
stergereProdus,2024-05-25 14:16:38.9872332
sortareProduse,2024-05-25 14:16:38.9882314
afisareProduse,2024-05-25 14:16:38.9892305
numarareProduse,2024-05-25 14:16:38.9892305
cautareProdusCategorie,2024-05-25 14:16:38.9902314
cautareProdusNume,2024-05-25 14:16:38.9902314
adaugareProdus,2024-05-25 14:18:22.7051721
adaugareProdus,2024-05-25 14:18:22.7241757
adaugareProdus,2024-05-25 14:18:22.7251713
adaugareProdus,2024-05-25 14:18:22.7251713
